fuzzy_threshold,embedding_threshold,accuracy,false_positive_rate
78,0.63,80.79,27.85
77,0.63,81.13,27.85
80,0.63,81.30,27.85
81,0.63,81.82,27.85
82,0.63,81.82,27.85
83,0.63,81.48,27.85
79,0.63,81.30,27.85
84,0.63,81.48,27.85
85,0.63,81.30,27.85
78,0.64,80.45,25.32
77,0.64,80.79,25.32
86,0.63,81.48,27.85
80,0.64,80.96,25.32
79,0.64,80.96,25.32
81,0.64,81.48,25.32
82,0.64,81.48,25.32
83,0.64,81.13,25.32
77,0.65,80.27,22.78
84,0.64,81.13,25.32
85,0.64,80.96,25.32
86,0.64,81.13,25.32
78,0.65,79.93,22.78
79,0.65,80.45,22.78
80,0.65,80.45,22.78
81,0.65,80.96,22.78
82,0.65,80.96,22.78
84,0.65,80.62,22.78
83,0.65,80.62,22.78
85,0.65,80.45,22.78
86,0.65,80.62,22.78
77,0.66,79.42,20.25
78,0.66,79.07,20.25
79,0.66,79.59,20.25
81,0.66,80.10,20.25
80,0.66,79.59,20.25
82,0.66,80.10,20.25
83,0.66,79.76,20.25
84,0.66,79.76,20.25
85,0.66,79.59,20.25
78,0.67,78.56,20.25
77,0.67,78.90,20.25
86,0.66,79.76,20.25
79,0.67,79.07,20.25
80,0.67,79.07,20.25
81,0.67,79.59,20.25
82,0.67,79.59,20.25
83,0.67,79.25,20.25
84,0.67,79.25,20.25
85,0.67,79.07,20.25
86,0.67,79.25,20.25
